verb,overall_occurrences,Levin_classes,simple_sel,pmw_count,number_withOUT_obj,objectless_sentences,percent_implicit_obj,sents_WITH_obj,most_common_objs,number_with_obj
toss,2.0,"throw(Verbs of Throwing),preparing(Verbs of Creation and Transformation),",1.0,82,0.0,[],0.0,"[he tossed a paper toward every front door , and housewives came down to their steps to pick them up and read what their neighbors had been doing . 
]","paper(1),",1.0
scrawl,1.0,"scribble(Image Creation Verbs),",,41,1.0,"[His first thought was that Mrs. Kirby , in her mania for color , had dyed a cat and that cat had somehow managed to open the refrigerator door and climb in ; ; 
He scrawled ``]",1.0,[],,0.0
push,3.0,"funnel(Verbs of Putting),carry(Verbs of Sending and Carrying),",0.5,123,0.0,[],0.0,"[Af against the knife which tends to push it into the substrate or lift it away from the substrate depending on the vector direction of Af . 
, She would not stop to read them in American Express , as many were doing , sitting on benches or leaning against the walls , but pushed her way out into the street . 
]","way(1),-PRON-(1),",2.0
relieve,1.0,"cheat(Verbs of Removing),amuse(Psych-Verbs),",1.0,41,0.0,[],0.0,"[Look Jed , this is an open and shut case and I have to relieve my men at the road block soon . 
]","man(1),",1.0
invent,1.0,"create(Verbs of Creation and Transformation),",1.0,41,0.0,[],0.0,"[To break the monotony it may be necessary to invent tasks that will keep the family busy . 
]","task(1),",1.0
jerk,1.0,"push/pull(Verbs of Exerting Force: Push/Pull Verbs),",,41,1.0,"[The two little bangs meant that he was getting impatient to have a crowd of customers waited on and that if he had to he would jerk open the door and drag out , by the opposite door handle which she would be clutching , whichever-the-hell clerk it was who thought she could waste so much store time on the pot . 
]",1.0,[],,0.0
cook,3.0,"build(Verbs of Creation and Transformation),preparing(Verbs of Creation and Transformation),cook(Verbs of Change of State),",1.0,123,1.0,"[She couldn't cook or clean or make him comfortable . 
]",0.5,"[Do buy meat the day or the day before you intend to cook it . 
]","-PRON-(1),",1.0
trouble,1.0,"amuse(Psych-Verbs),",,41,1.0,"[The people who believe and retell the legend have apparently never troubled to read the trial testimony and do not know that the maid changed her testimony on several key points , always to the detriment of Lizzie . 
]",1.0,[],,0.0
tear,1.0,"break(Verbs of Change of State),",1.0,41,0.0,[],0.0,"[and in that brief interval , a redcoat officer came tearing down the road , whipping his horse fit to kill . 
]","road(1),",1.0
dig,1.0,"poke(Poke Verbs),create(Verbs of Creation and Transformation),hunt(Verbs of Searching),",,41,1.0,"[She also banks into a turn like a fine runabout -- not digging in on the outside to throw passengers all over the boat like many a small cabin cruiser . 
]",1.0,[],,0.0
leave,9.0,"fulfilling(Verbs of Change of Possession),get(Verbs of Change of Possession),keep(Hold and Keep Verbs),inherently directed motion(Verbs of Motion),",0.5,369,2.0,"[But he had delayed accepting this job , and as he was leaving to come home to Papa in response to our telegram , he dropped a postcard to Miss McCrady , head of the Harvard Appointment Office , asking her please to write Northwestern authorities and explain the circumstances . 
, To come back later and kill him after the stores had closed around the square and everybody had left ? ? 
]",0.3333333333333333,"[He got no relief from drink because , though sometimes Precious would buy himself a drink if he went out with us in the evening , he'd leave it on the table untouched . 
, In privacy he could walk around , leave the light on , read . 
, The easiest thing would be to sell out to Al Budd and leave the country , but there was a stubborn streak in him that wouldn't allow it . 
, Then , having wrapped the lot in an afghan my dog customarily slept on , you lammed out the front door , considerately leaving it open for neighbors to discover . 
]","-PRON-(2),light(1),country(1),",4.0
settle,5.0,"spray/load(Verbs of Putting),",1.0,205,2.0,"[Madden settled back to read the will . 
, , Mrs. Major Roebuck settled down to practicing on Corporal Johnson the kittenish wiles she would need when making her duty call on Colonel and Mrs. Somebody in Sante Fe . 
]",0.6666666666666666,"[And , shoving her against a spruce , her back to him , he retreated with the whip and made it whine and crack in the damp air , shortening its arc until it narrowed to her flesh and the sound of it snarled and cracked , settling its own cruel demons on her shoulders while she stood as unchanged , as dark and motionless as ever , her eyes open and staring at the pale delineaments of the bark so close to her face . 
]","demon(1),",1.0
discover,1.0,"sight(Verbs of Perception),",,41,1.0,"[Then , having wrapped the lot in an afghan my dog customarily slept on , you lammed out the front door , considerately leaving it open for neighbors to discover . 
]",1.0,[],,0.0
bake,1.0,"build(Verbs of Creation and Transformation),preparing(Verbs of Creation and Transformation),cook(Verbs of Change of State),",1.0,41,0.0,[],0.0,"[Thought I'd bake it out in the sun '' . 
]","-PRON-(1),",1.0
change,7.0,"exchange(Verbs of Change of Possession),turn(Verbs of Creation and Transformation),other change-of-state(Verbs of Change of State),",0.25,287,1.0,"[I have observed that being up on a horse changes the whole character of a man , and when a very small man is up on a saddle , he'd like as not prefer to eat his meals there . 
]",0.2,"[Or buy half a dozen lengths of oilcloth and change patterns for different kinds of barbecues . 
, Then if you change jobs you won't necessarily have to sell the farm . 
, The people who believe and retell the legend have apparently never troubled to read the trial testimony and do not know that the maid changed her testimony on several key points , always to the detriment of Lizzie . 
, The lioness quickly changed front , when she saw she couldn't catch Means , and made for Jones . 
]","testimony(1),pattern(1),job(1),front(1),",4.0
love,2.0,"admire(Psych-Verbs),",1.0,82,0.0,[],0.0,"[`` You must have loved that girl very much , but you couldn't have meant it when you said that you wanted to kill her '' . 
]","girl(1),",1.0
raise,2.0,"putting-in-specified-direction(Verbs of Putting),",1.0,82,0.0,[],0.0,"[In my estimation , they were people who read Daphne du Maurier , and discussed Kafka ; ; 
Reverently and raised their eyes , as if they were at a loss to describe how they felt about Kafka , which they were , because they had no opinions about Kafka , not having read Kafka . 
]","eye(1),",1.0
dangle,1.0,"putting-in-spatial-config(Verbs of Putting),",,41,1.0,"[She was personally sloppy , and when she had colds would blow her nose in the same handkerchief all day and keep it , soaking wet , dangling from her waist , and when she gardened she would eat dinner with dirt on her calves . 
]",1.0,[],,0.0
visit,6.0,"meet(Verbs of Social Interaction),",0.2,246,1.0,"[Here and there she stayed to visit and drink a glass of sherry . 
]",0.16666666666666666,"[As you pull out of your motel or national park home-for-the-night , visit a market and buy just what you need for the next meal . 
, Lee renewed his pressure on Mrs. Shaefer to buy his machine when she visited him the next day . 
, If you have taken this stroll in the morning , and you have the time and inclination , walk to the right along the crowded Corso for half a dozen blocks to visit the fine private collection of paintings -- mainly of the sixteenth and seventeenth centuries -- in the Palazzo Doria ( open Sunday , Tuesday , and Thursday , 10:00 to 1:00 ) . 
, He claimed to be visiting the waterfront saloon at the crossroads to play cards and drink with his cronies , but Kate had not smelled brandy on him since Mrs. Lattimer's funeral . 
, If you draw the short straw I'll lend you some bread , like fifty bucks , before I take off to visit my sister in Frisco . 
]","sister(1),saloon(1),market(1),collection(1),-PRON-(1),",5.0
fly,2.0,"drive(Verbs of Sending and Carrying),",,82,2.0,"[Allied Arts then notified us that the Kirov would cut short its Los Angeles booking , fly here to open Nov. 28 , and close Dec. 2 . 
, The heavy glass didn't break , but the top flew off ; ; 
He remembered a story he had read as a youth . 
]",1.0,[],,0.0
can,69.0,"pocket(Verbs of Putting),",0.5,2833,51.0,"[Rep. Wesley Roberts of Seminole , sponsor of the poll idea , said that further delay in the committee can kill the bill . 
, If it fails to pass , he can throw up his hands and say the Legislature would not support him in his efforts to prevent integration . 
, I can't throw . 
, He called the Cuban tractor plan an outright blackmail action , and noted that in war `` you can't buy yourself out and that's what we're trying to do '' . 
, The average Congolese can do little more than puzzle out the meaning of `` la chatte '' and `` le chien '' and write his name . 
, Most members of the U.S. Senate , because they are human , like to eat as high on the hog as they can . 
, The British coal industry is unprofitable , has large coal stocks it can't sell . 
, We cannot consider ourselves educated if we do not read ; ; 
if we do not know how to use what we do read . 
, Maybe he can clean out the white elephants in some of the city departments such as welfare , DPW and sanitation . 
, Anyone can draw his own conclusions from this difference . 
, You can catch up with him -- if you haven't already -- on RCA-Victor's album . 
, With an art that almost conceals art , J. D. Salinger can create a fictional world so authentic that it hurts . 
, In this same society , the plain citizen can with an average of only one-fifth his income buy more calories than he can consume . 
, In this same society , the plain citizen can with an average of only one-fifth his income buy more calories than he can consume . 
, Why not open your heart to the Lord Jesus Christ now , accept Him as your Saviour and let Him fill you with peace that only He can give . 
, And unlike other fruits , one cannot eat the skin of the avocado . 
, A trap for throwing these miniature clays fastens to the barrel so that the shooter can throw his own targets . 
, You can get year-'round air conditioners in the same variety of styles in which you buy a furnace alone -- high or low boy , horizontal or counterflow . 
, If the house you plan to buy or build won't have big overhangs , you can still do a fair job of keeping the sun off walls and windows with properly designed trellises , fences and awnings . 
, From this point , I paint in as direct a manner as possible , by flowing on the washes with as pure a color mixture as I can manage . 
, Eventually the class will be able to kick up high enough so that the teacher can catch the leading leg . 
, From this doctors can read heart rate , change in diameter , pressure , and effective heart power . 
, forcing them into management can only create trouble . 
, I , frankly , can't draw a straight line . 
, Not only can man project his imagination out into his environment in concrete forms , but even more importantly , he can turn it inward to help create new and better forms of himself . 
, Not only can man project his imagination out into his environment in concrete forms , but even more importantly , he can turn it inward to help create new and better forms of himself . 
, It is far better to have such conditions treated in advance than to have them show up on the honeymoon where they can create a really serious situation . 
, Folk-lore , superstition and remembered passages from erotic literature can create physical and emotional problems if blindly taken as scientific facts and useful hints . 
, Tampering with the Post Office may infuriate every voter who can write . 
, Even if people do , in a not far distant future , begin to read one another's minds , there will still be the question of whether what you find in another man's mind is especially worth reading -- worth more , that is , than what you can read in good books . 
, One serves society by conducting a business from which a certain number of employees draw their means of subsistence ; ; 
One cannot read the records of scientists , officials and travelers who have penetrated to the minds of the most savage races without realizing that each individual met with is a person . 
, And again , `` how can you write when you haven't yet read ', I would hope that we could create the recognition in the Department and overseas that those who come across little things going wrong have the responsibility for bringing these to the attention of those who can do something about them . 
, The president has little influence in day-by-day curricular changes , but if he looks ahead two , three , or five years to anticipate issues and throw out challenging ideas , he can open the way for innovation , and he can also have a great deal to say as to what path it will take . 
, The president has little influence in day-by-day curricular changes , but if he looks ahead two , three , or five years to anticipate issues and throw out challenging ideas , he can open the way for innovation , and he can also have a great deal to say as to what path it will take . 
, By sharing the load of important speeches with his colleagues , the president can develop a cadre of able spokesmen who will help to create a public perception of the university as an institution , something more than the lengthened shadow of one man . 
, We have just observed that we can write Af where D is diagonalizable and N is nilpotent , and where D and N not only commute but are polynomials in T . 
, We can argue that where residence makes pupil desegregation impossible teacher assignment can create a partially desegregated situation . 
, We can argue that where residence makes pupil desegregation impossible teacher assignment can create a partially desegregated situation . 
, `` And in the future , since I write for a public of one , I can save the poor publishers from wasting their money '' . 
, I can see it from this window where I write . 
, `` And I am not sure that I have any cash -- any money , that is -- but if you will wait just a minute I will write you out a check if I can find my checkbook . 
, Now I can only write , and that only when I get out of pain . 
, He swung round to the other men -- `` We can catch him easy ! ! 
, And when you get off this job tonight , well , you can gimme something to eat '' . 
, `` I suppose '' , he muttered , `` I can sell the outfit for enough to send you home to your folks , once we find a settlement '' . 
, It can kill you . 
, `` If it ain't an idea '' , she said , `` how comes it you can drink beer but not water '' ? ? 
, Or you could hope the parachute wouldn't open just so you could say you saw it not open , not because you meant any harm to Starkey Poe in his suit of red underwear , but mainly because you were tired of being an old maid -- a thing which cannot admit when it thinks it might be pregnant , but must stand the dizzy feeling all alone and go on like everything is all right instead of being able to say to somebody in a normal voice :, `` Since we're having coffee with them this afternoon '' , he said , `` I think I'll ask the daughter if we can pay her to come in every day to clean for us '' . 
, you can't very well sidle up to people on the street and ask if they want to buy a hot Bodhisattva . 
]",0.9622641509433962,"[She was ready to kill the beef , dress it out , and with vegetables from her garden was going to can soup , broth , hash , and stew against the winter . 
, That is why it is so very important that ethical analysis keep clear the problem of decision as to `` permitted '' effects , and not draw back in fright from any conceivable contingency or suffer paralysis of action before possibilities or probabilities unrelated , or not directly morally related , to what we can and may and must do as long as human history endures . 
]","what(1),soup(1),",2.0
handle,2.0,"hold(Hold and Keep Verbs),",1.0,82,1.0,"[The two little bangs meant that he was getting impatient to have a crowd of customers waited on and that if he had to he would jerk open the door and drag out , by the opposite door handle which she would be clutching , whichever-the-hell clerk it was who thought she could waste so much store time on the pot . 
]",0.5,"[On the other hand , the fictional detective does not break strikes or handle divorce cases ; ; 
At the same time , because the personal code of the detective coincides with the legal dictates of his society , because he likes to catch criminals , he is in middle class eyes a virtuous man . 
]","case(1),",1.0
write,120.0,"scribble(Image Creation Verbs),performance(Verbs of Creation and Transformation),",0.14,4927,47.0,"[I'll write what you tell me to '' . 
, And how he could write ! ! 
, Of another colleague , George Santayana , he could write : `` The great event in my life recently has been the reading of Santayana's book . 
, In this sequence I shall write about them in the order of their erection . 
, `` I have done everything '' , he wrote , `` to break up the whole of that unfortunate establishment . 
, One wrote : `` ( I am so hungry ), After he had been away from home about a year he wrote : `` ( dear Wife ) if I did not write and receive letters from you, After he had been away from home about a year he wrote : `` ( dear Wife ) if I did not write and receive letters from you, Near the end of his service he wrote that when the war was over he was going to buy two pups , name one of them `` Fall-in '' and the other `` Close-up '' , and then shoot them both , `` and that will be the end of Fall-in and Close-up '' . 
, Occasionally they would write to the slaves . 
, Occasionally gay young blades would write vividly to boon companions at home about their amorous exploits in Richmond , Petersburg , Washington , or Nashville . 
, William , who did not write to Gorham , told Giffen that unless he could operate the plantation as usual for a year , he would sue `` amicably '' to protect his interests . 
, She named 48 items , and said there were `` many more things which it would take too long to write '' . 
, While fifty years before , Albert Goodwill Spalding , secretary of the Chicago Ball Club of the National League , could write earnestly to the manager of the Buffalo club and request a guarantee of one hundred dollars for a baseball game in August , in this Golden Era a game at the Yankee Stadium might bring in nearly a hundred thousand dollars at the gate . 
, Tampering with the Post Office may infuriate every voter who can write . 
, I write about Northern liberals from considerable personal experience . 
, Capable of enduring friendships , they were also stout controversialists , who could write with a drop of vitriol on their pens . 
, The field , then , is ripe for new Southerners to step to the fore and write of this twentieth-century phenomenon , the Southern Yankeefication : the new urban economy , the city-dweller , the pains of transition , the labor problems ; ; 
Lacking the pioneer spirit necessary to write of a new economy , these writers seem to be contenting themselves with an old one that is now as defunct as Confederate money . 
, The field , then , is ripe for new Southerners to step to the fore and write of this twentieth-century phenomenon , the Southern Yankeefication : the new urban economy , the city-dweller , the pains of transition , the labor problems ; ; 
Lacking the pioneer spirit necessary to write of a new economy , these writers seem to be contenting themselves with an old one that is now as defunct as Confederate money . 
, Writers openly admit that the Negro is easier to write than the white man ; ; 
But her conscious need was to break away from constricting patterns of form , a need to let the experience shape itself . 
, At a party an English intellectual -- so-called -- asked me why I write always about distress . 
, Under her father's influence it did not occur to Henrietta that she might write on subjects outside the Jewish field , but she did begin writing for other Anglo-Jewish papers and thus increased her output and her audience . 
, Under her father's influence it did not occur to Henrietta that she might write on subjects outside the Jewish field , but she did begin writing for other Anglo-Jewish papers and thus increased her output and her audience . 
, Even Harriet could boldly write , `` I know not how it is ; ; 
A year later another Salem ship returned from Burma with a cargo of gum lacquer which nobody wanted to buy . 
, `` I couldn't write with them in the same room with me , but I could with Harold . 
, & synce I did write unto him to dessier him to paie 10 for mee which standeth mee greatly uppon to have paide . 
, In order to write with authority either about musicians , or as a musician , Patchen would have to soft pedal his characteristically outspoken anger , and change ( at least for the purposes of this poetry ) from a revolutionary to a victim . 
, they read widely and eclectically ; ; 
they did not fall into pseudo-glamorous jobs on pseudo-glamorous magazines , but they did whatever nasty thing they could get in order to eat ; ; 
Krim was able to get an advance for a novel , and time and opportunity to write at Yaddo , but it was no good . 
, And again , `` how can you write when you haven't yet read ', For the sad truth is that while one might write well without having read Bartleby, The Scrivener , one is more likely , to write well if one has `` read it , and much else . 
, This meant , concretely , that the patient could not read at all without making writing-like movements of the head or body , became easily confused by `` hasher marks '' inserted between hand-written words and thus confused the mark for one of the letters , and could recognize a simple straight line or a curved one only by tracing it . 
, And The Present and Time's Laughing Stocks , both published while Hardy was at work on The Dynasts , draw heavily on poems written before 1900 . 
, Since the 7070 and 7074 make use of record definition words ( RDWS ) to read , write , move , and otherwise examine blocks of storage , the DA and DC statements provide the option of generating RDWS automatically . 
, He took the pen in his stumps and began to write . 
, If the crummy bastard could write ! ! 
, Krist , I wish they could write ! ! 
, `` This is the sort of stuff I write and then throw away '' ! ! 
, She could act and she could write . 
, `` And in the future , since I write for a public of one , I can save the poor publishers from wasting their money '' . 
, I can see it from this window where I write . 
, We would write to one another and make a definite plan . 
, Now I can only write , and that only when I get out of pain . 
, It was simply his necessity to confess which had made him write and keep this thing . 
, There was a letter to write to her mother , and she tried to make its tone cheerful . 
, Just the same , the old woman said , she would write to her nephew in his boxcar and tell him she had met a nice man from his adopted country . 
, He had to write very small to get it on the bottom of the scrap of paper . 
]",0.4519230769230769,"[The average Congolese can do little more than puzzle out the meaning of `` la chatte '' and `` le chien '' and write his name . 
, I feel compelled to write this because I am greatly concerned with the problem of community growth rate and the relation between types of growth in a town such as East Greenwich . 
, To write a play , the dramatist once needed an idea plus the imagination , the knowledge of life and the craft to develop it . 
, All the generals who held important commands in World War 2 , did not write books . 
, Not content to create only the music and lyrics , Noel Coward also wrote the book and directed Sail Away ( Capitol WAO 1643 ; ; 
Systematically he would open and ransack drawers . 
, Urge them to write out their questions for the box . 
, Ask each member to write a statement on such topics as : `` What Christ Means To Me '' , `` What The Church Means To Me '' , `` Why Join The Church '' , `` The Duties Of Church Members '' , etc. . 
, From that day on I began to write editorials about the things I did not think correct in Fidel Castro's regime . 
, a poor attempt to write an idiomatic jazz concerto ; ; 
During all this time Roy continued to paint , first only on weekends , and then , as the family business permitted , for longer periods . 
, his wife taught the two boys to read and write Danish . 
, Below decks , Seaman 1/c Stanley Bishop had begun to write a letter home . 
, If they were , Walter Lippmann would be writing the same columns as George Sokolsky , and Herb Lock would have nothing to draw cartoons about . 
, And so I would only touch upon it now ( much as I have long wanted to write a book about it ) . 
, Dashiell Hammett resolved this contradiction by ceasing to write mystery stories and turning to other pursuits . 
, And the best way to conceal and disguise the elements of an incest story is not to set out to write an incest story . 
, And like Jo March , who saw her sisters Meg and Amy involved in `` lovering '' before herself , Henrietta saw her sisters Rachel and Sadie drawn outside their family circle by the attraction of suitors , Rachel by Joe Jastrow , and Sadie by Max Lobl , a young businessman who would write her romantic descriptions of his trips by steamboat down the Mississippi . 
, He probably didn't mean to write it this way , or maybe he did . 
, When he heard that Paul Whiteman was looking for singers to replace the Rhythm Boys , Mercer applied and got the job , `` not for my voice , I'm sure , but because I could write songs and material generally '' . 
, The Hetman told me to take the story over the phone and to write it . 
, Like Green , Trevelyan aimed to write a history not of `` English kings or English conquests '' , but of the English people . 
, I had advised friends to write me to `` No Man's Land , Pont Kehl , Between Strasbourg and Kehl , France-Germany '' . 
, But he had delayed accepting this job , and as he was leaving to come home to Papa in response to our telegram , he dropped a postcard to Miss McCrady , head of the Harvard Appointment Office , asking her please to write Northwestern authorities and explain the circumstances . 
, And he threatened someday to write a play `` with fifty , eighty , a hundred people -- a whole town , a whole race , a whole epoch '' . 
, the younger , a schoolboy of eleven , wrote a letter in Latin asking his father to buy copybooks ( `` chartaceos libellos ) '' ) for him and his brother . 
, His mother Bess , who could not write herself , reminded her husband through Sturley to buy the apron he had promised her and `` a suite of hattes for 5 boies the yongst lined & trimmed with silke '' ( for John , only a year old ) . 
, She was occupying herself in an attempt to write an article about the variety of houses that they had rented abroad . 
, To the newspapers he talked about his unquiet life , about his wish to be a newspaperman once more , about the prevalence of American slang in British speech , about the loquacity of the English and the impossibility of finding quiet in a railway carriage , about his plans to wander for two years `` unless stopped and made to write another book '' . 
, The New York Times editorialist wondered just who would stop Mr. Lewis and make him write a book . 
, Above all , he had learned to write formal Latin prose and verse to a remarkable degree of artistry . 
, Patchen does read some of his earlier works to music , but he has written an entire book of short poems which seem to be especially suited for reading with jazz . 
, He returned to New York to work for The New Yorker , to edit a Western pulp , to `` duck the war in the OWI '' , to write publicity for Paramount Pictures and commentary for a newsreel , then he began his career as critic for various magazines . 
, My `` touchstones , had , been strictly '' literature and , humanly enough , American literature ( because that was what I wanted to write ) . 
, We have just observed that we can write Af where D is diagonalizable and N is nilpotent , and where D and N not only commute but are polynomials in T . 
, We now write Af where Af are distinct complex numbers . 
, The director helped tailor-make a check list of the district manager's errors by asking various observers to write out sentences commenting on the mistakes they felt he made . 
, The first productive period came when he was considering poetry as a vocation , before he had decided to write fiction for a living ( in his note for Who's Who he wrote that he `` wrote verses 1865 - 1868 ; ; 
and on Christmas Day , 1890 , Hardy wrote : `` While thinking of resuming ' the viewless Wings Of Poesy before dawn this morning , new horizons seemed to open , and worrying pettinesses to disappear '' ( Early Life , p. 302 ) . 
, The first productive period came when he was considering poetry as a vocation , before he had decided to write fiction for a living ( in his note for Who's Who he wrote that he `` wrote verses 1865 - 1868 ; ; 
and on Christmas Day , 1890 , Hardy wrote : `` While thinking of resuming ' the viewless Wings Of Poesy before dawn this morning , new horizons seemed to open , and worrying pettinesses to disappear '' ( Early Life , p. 302 ) . 
, The first productive period came when he was considering poetry as a vocation , before he had decided to write fiction for a living ( in his note for Who's Who he wrote that he `` wrote verses 1865 - 1868 ; ; 
and on Christmas Day , 1890 , Hardy wrote : `` While thinking of resuming ' the viewless Wings Of Poesy before dawn this morning , new horizons seemed to open , and worrying pettinesses to disappear '' ( Early Life , p. 302 ) . 
, The first productive period came when he was considering poetry as a vocation , before he had decided to write fiction for a living ( in his note for Who's Who he wrote that he `` wrote verses 1865 - 1868 ; ; 
and on Christmas Day , 1890 , Hardy wrote : `` While thinking of resuming ' the viewless Wings Of Poesy before dawn this morning , new horizons seemed to open , and worrying pettinesses to disappear '' ( Early Life , p. 302 ) . 
, We write this Af . 
, They crowded the small room and peered over one another's shoulders to watch the handless man write his name in the book . 
, He's telling them now to write letters to their Congressmen opposing the disarmament of Germany . 
, He is in a hurry to write another essay against culture . 
, For it was Rameau's type of music that he had been trying to write , and that he couldn't write . 
, For it was Rameau's type of music that he had been trying to write , and that he couldn't write . 
, All she did was write me a pleasant little note about how it was beautiful while it lasted but that now life had parted our ways and it was goodbye forever . 
, `` And I am not sure that I have any cash -- any money , that is -- but if you will wait just a minute I will write you out a check if I can find my checkbook . 
, `` I shouldn't like to have to write you up for insubordination as well as dereliction of duty '' . 
, His duty was to write a school text and to teach the entire personnel of the Gabriel how to speak Ozagen . 
, Since he couldn't sleep anyway , he might as well stand their watches for them or write their reports . 
, Far long ago , some other prisoner than one of these had tried to write a letter . 
, Then , helpfully , as she merely stared at him in weary silence , `` Maybe you could write it down for me , huh ? ? 
, He had better write a postcard to Walter . 
, `` I hope if you have any ideas along these lines you will write me about them . 
, But due to the many applicants on file , would he co-operate and write a personal letter giving them his son's motivation , interests and his qualifications for leadership ? ? 
, Did it take a man of sixty-five longer to write a letter , shave , clean out a barn , read a newspaper , than a man of thirty ? ? 
, '' 
`` It took me five hours to write it that way '' . 
]","-PRON-(8),letter(6),book(6),who(4),af(3),that(2),story(2),play(2),name(2),what(1),this(1),text(1),statement(1),song(1),sentence(1),report(1),question(1),publicity(1),prose(1),postcard(1),note(1),history(1),essay(1),editorial(1),description(1),danish(1),concerto(1),column(1),check(1),authority(1),article(1),",57.0
tile,1.0,"fill(Verbs of Putting),butter(Verbs of Putting),",,41,1.0,"[Above , in the tiled prosceniums of the alcoves , boys sing the ghazals of Hafiz and Saadi , while at the very bottom , in the vaults , the toughs and blades of the city hoot and bang their drums , drink arak , play dice , and dance . 
]",1.0,[],,0.0
produce,7.0,"create(Verbs of Creation and Transformation),performance(Verbs of Creation and Transformation),",0.333,287,1.0,"[The youngsters sell stock , produce and sell a product , pay taxes , and show a profit or loss just like full-scale businesses . 
]",0.25,"[A nuclear pacifier of these dimensions -- roughly some six and a half times bigger than anything the United States has triggered experimentally -- would certainly produce a bigger bang , and , just for kicks , Khrushchev might use it to propel the seminar of the house of delegates from St. Louis to the moon , where there wouldn't even be any beer to drink . 
, We produce peanut oil , but to a much greater extent we eat the entire seed . 
, Since strong nociceptive stimuli produce an experimental neurosis during which the animals fail to eat in the experimental situation , Wolpe thought that he could utilize the feeding-pain antagonism to inhibit the neurotic symptoms through feeding . 
]","oil(1),neurosis(1),bang(1),",3.0
date,1.0,"illustrate(Image Creation Verbs),",,41,1.0,"[His recent experience in motor car advertising , a love for cars of themselves , the existence of A-Z's useless Wisconsin set-up , exposure to exciting conceptions of Hamrick's that nobody would buy , and the coincidental recent failure of a respected but out-dated small-car manufacturer called Ticonderoga Motors had given him an idea of such dimensions he was almost afraid to broach it . 
]",1.0,[],,0.0
grow,2.0,"build(Verbs of Creation and Transformation),grow(Verbs of Creation and Transformation),",1.0,82,1.0,"[Small , shirt-sleeved orchestras play in 2/4 or 4/4 time , using guitars , violins , and more alien instruments with names that would open Sesame : the oud , grandfather of the lute ; ; 
As we know , the Soviet peasant today still very largely thrives on being able to sell the produce grown on his private plot ; ; 
he may break with China ( which would be infernally difficult and perhaps disastrous ) , or he may succeed , by all kinds of dangerous concessions , in persuading China to be patient . 
]",0.5,"[If you grow anything to sell you will need markets nearby . 
]","anything(1),",1.0
halt,2.0,"other change-of-state(Verbs of Change of State),",1.0,82,1.0,"[I felt myself tremble , thinking of the diamond light of that beauty I had held a few moments before , and I wanted to run down there and halt , if I could , that frenetic pirouette , catch the boy in the moment of his savagery , and save a glimmer , a remnant , of that which I remembered , but I knew it was already too late . 
]",0.5,"[This would seem to indicate that we are trying neither `` to halt an influx of migrants '' nor are we `` setting up such standards for development that only the well-to-do could afford to buy land and build in the new sites '' . 
]","influx(1),",1.0
clutch,1.0,"hold(Hold and Keep Verbs),",1.0,41,0.0,[],0.0,"[The two little bangs meant that he was getting impatient to have a crowd of customers waited on and that if he had to he would jerk open the door and drag out , by the opposite door handle which she would be clutching , whichever-the-hell clerk it was who thought she could waste so much store time on the pot . 
]","which(1),",1.0
drop,3.0,"putting-in-specified-direction(Verbs of Putting),calibratable change-of-state(Verbs of Change of State),",1.0,123,1.0,"[James P. Mitchell , when he was the head of the department , promised to eat his hat if unemployment didn't drop below three million a couple of years ago . 
]",0.5,"[But he had delayed accepting this job , and as he was leaving to come home to Papa in response to our telegram , he dropped a postcard to Miss McCrady , head of the Harvard Appointment Office , asking her please to write Northwestern authorities and explain the circumstances . 
]","postcard(1),",1.0
increase,1.0,"other change-of-state(Verbs of Change of State),calibratable change-of-state(Verbs of Change of State),",1.0,41,0.0,[],0.0,"[Under her father's influence it did not occur to Henrietta that she might write on subjects outside the Jewish field , but she did begin writing for other Anglo-Jewish papers and thus increased her output and her audience . 
]","output(1),",1.0
turn,6.0,"turn(Verbs of Creation and Transformation),",0.5,246,3.0,"[Dashiell Hammett resolved this contradiction by ceasing to write mystery stories and turning to other pursuits . 
, Cabot turned back to the men and he was drunk with the thing they would do , wild to break from the cloying warmth of the saloon into the cold of the ebbing night . 
, I quickly turned around and began to drink . 
]",0.6,"[Not only can man project his imagination out into his environment in concrete forms , but even more importantly , he can turn it inward to help create new and better forms of himself . 
, The earth was a little heavy and I had to stop once and clean the plowshares because they were not scouring properly , and I did not look back towards the place until I had turned the corner and was plowing across the upper line of the large field , a long way from where I had stopped because of the snake . 
]","corner(1),-PRON-(1),",2.0
suspend,1.0,"putting-in-spatial-config(Verbs of Putting),",,41,1.0,"[`` I paint the nothing '' , he said once to Franz Kline and myself , `` the nothing that is behind the something , the inexpressible , unpaintable ' tick ' in the unconscious , the ' spirit ' of the moment resting forever , suspended like a huge balloon , in non-time '' . 
]",1.0,[],,0.0
carry,2.0,"carry(Verbs of Sending and Carrying),",0.5,82,0.0,[],0.0,"[District Attorney M. W. Mills warned that he would vigorously prosecute persons caught committing these crimes or carrying arms -- he just didn't catch anyone . 
, He had dusted each of the books carefully and carried them all to the basement and , trembling at having to open the big furnace , given them up to the flames . 
]","arm(1),-PRON-(1),",2.0
