verb,Levin_classes
ferry,"drive(Verbs of Sending and Carrying),"
spy,"sight(Verbs of Perception),"
chip,"cut(Verbs of Cutting),carve(Verbs of Cutting),break(Verbs of Change of State),"
stroke,"touch(Verbs of Contact: Touch Verbs),"
regale,"equip(Verbs of Change of Possession),"
topple,"other change-of-state(Verbs of Change of State),"
provoke,"amuse(Psych-Verbs),"
savor,"sight(Verbs of Perception),admire(Psych-Verbs),"
tilt,"other change-of-state(Verbs of Change of State),"
parch,"cook(Verbs of Change of State),"
write,"scribble(Image Creation Verbs),performance(Verbs of Creation and Transformation),"
tile,"fill(Verbs of Putting),butter(Verbs of Putting),"
deteriorate,"other change-of-state(Verbs of Change of State),entity-specific change-of-state(Verbs of Change of State),"
sacrifice,"contribute(Verbs of Change of Possession),"
spot,"fill(Verbs of Putting),sight(Verbs of Perception),"
produce,"create(Verbs of Creation and Transformation),performance(Verbs of Creation and Transformation),"
date,"illustrate(Image Creation Verbs),"
suck,"wipe(Verbs of Removing),chew(Verbs of Ingesting),"
grow,"build(Verbs of Creation and Transformation),grow(Verbs of Creation and Transformation),"
fossilize,"other change-of-state(Verbs of Change of State),"
relinquish,"contribute(Verbs of Change of Possession),"
stress,"butter(Verbs of Putting),"
amuse,"amuse(Psych-Verbs),"
purify,"cheat(Verbs of Removing),other change-of-state(Verbs of Change of State),"
jail,"pocket(Verbs of Putting),"
offend,"amuse(Psych-Verbs),"
refund,"give(Verbs of Change of Possession),"
comfort,"amuse(Psych-Verbs),"
forfeit,"contribute(Verbs of Change of Possession),"
blare,"sound emission(Verbs of Emission),"
brain,"spank(Verbs of Contact by Impact),"
shake,"funnel(Verbs of Putting),knead(Verbs of Creation and Transformation),amuse(Psych-Verbs),"
horrify,"amuse(Psych-Verbs),"
equip,"equip(Verbs of Change of Possession),"
worship,"admire(Psych-Verbs),"
derive,"create(Verbs of Creation and Transformation),"
charcoal-broil,"cook(Verbs of Change of State),"
thumb,"rummage(Verbs of Searching),"
suffocate,"poison(Verbs of Killing),"
thump,"hit(Verbs of Contact by Impact),"
mail,"send(Verbs of Sending and Carrying),"
halt,"other change-of-state(Verbs of Change of State),"
fling,"throw(Verbs of Throwing),"
rake,"funnel(Verbs of Putting),wipe(Verbs of Removing),search(Verbs of Searching),"
shatter,"break(Verbs of Change of State),"
smarten,"other change-of-state(Verbs of Change of State),"
titillate,"amuse(Psych-Verbs),"
daub,"spray/load(Verbs of Putting),"
execute,"murder(Verbs of Killing),"
placate,"amuse(Psych-Verbs),"
stabilize,"other change-of-state(Verbs of Change of State),"
clutch,"hold(Hold and Keep Verbs),"
mellow,"other change-of-state(Verbs of Change of State),"
drop,"putting-in-specified-direction(Verbs of Putting),calibratable change-of-state(Verbs of Change of State),"
revere,"admire(Psych-Verbs),"
retrieve,"steal(Verbs of Removing),obtain(Verbs of Change of Possession),"
gape,"peer(Verbs of Perception),"
plant,"spray/load(Verbs of Putting),"
troll,"search(Verbs of Searching),"
stitch,"build(Verbs of Creation and Transformation),"
increase,"other change-of-state(Verbs of Change of State),calibratable change-of-state(Verbs of Change of State),"
dumbfound,"amuse(Psych-Verbs),"
scandalize,"amuse(Psych-Verbs),"
hull,"pit(Verbs of Removing),"
smudge,"spray/load(Verbs of Putting),"
cart,"drive(Verbs of Sending and Carrying),"
preoccupy,"amuse(Psych-Verbs),"
advance,"other change-of-state(Verbs of Change of State),"
dewater,"debone(Verbs of Removing),"
turn,"turn(Verbs of Creation and Transformation),"
punt,"throw(Verbs of Throwing),"
place,"putting(Verbs of Putting),"
turf,"butter(Verbs of Putting),"
excommunicate,"remove(Verbs of Removing),"
suspend,"putting-in-spatial-config(Verbs of Putting),"
disburse,"contribute(Verbs of Change of Possession),"
reopen,"other change-of-state(Verbs of Change of State),"
evaporate,"other change-of-state(Verbs of Change of State),"
vote,"get(Verbs of Change of Possession),"
rind,"pit(Verbs of Removing),"
ring,"fill(Verbs of Putting),sound emission(Verbs of Emission),"
tame,"other change-of-state(Verbs of Change of State),"
open,"other change-of-state(Verbs of Change of State),"
bite,"swat(Verbs of Contact by Impact),"
purloin,"steal(Verbs of Removing),"
molder,"entity-specific change-of-state(Verbs of Change of State),"
dissipate,"other change-of-state(Verbs of Change of State),"
escort,"accompany(Verbs of Motion),"
daunt,"amuse(Psych-Verbs),"
thaw,"other change-of-state(Verbs of Change of State),"
hum,"performance(Verbs of Creation and Transformation),"
snatch,"steal(Verbs of Removing),obtain(Verbs of Change of Possession),"
repossess,"steal(Verbs of Removing),"
disabuse,"cheat(Verbs of Removing),"
butt,"hit(Verbs of Contact by Impact),"
copy,"scribble(Image Creation Verbs),transcribe(Image Creation Verbs),"
cleanse,"cheat(Verbs of Removing),"
carbonize,"other change-of-state(Verbs of Change of State),"
bewitch,"amuse(Psych-Verbs),"
distill,"wipe(Verbs of Removing),"
defat,"debone(Verbs of Removing),"
gobble,"gobble(Verbs of Ingesting),"
winkle,"remove(Verbs of Removing),steal(Verbs of Removing),"
decompose,"other change-of-state(Verbs of Change of State),"
prospect,"search(Verbs of Searching),"
lick,"wipe(Verbs of Removing),touch(Verbs of Contact: Touch Verbs),chew(Verbs of Ingesting),"
capsize,"other change-of-state(Verbs of Change of State),"
tantalize,"amuse(Psych-Verbs),"
appreciate,"admire(Psych-Verbs),calibratable change-of-state(Verbs of Change of State),"
slap,"throw(Verbs of Throwing),hit(Verbs of Contact by Impact),"
dash,"hit(Verbs of Contact by Impact),"
slam,"throw(Verbs of Throwing),non-agentive impact(Verbs of Contact by Impact),"
rent,"give(Verbs of Change of Possession),get(Verbs of Change of Possession),"
anger,"amuse(Psych-Verbs),"
recover,"steal(Verbs of Removing),obtain(Verbs of Change of Possession),"
saw,"cut(Verbs of Cutting),"
knead,"knead(Verbs of Creation and Transformation),"
isolate,"conceal(Verbs of Concealment),"
clunk,"sound emission(Verbs of Emission),"
note,"sight(Verbs of Perception),"
take,"steal(Verbs of Removing),bring/take(Verbs of Sending and Carrying),performance(Verbs of Creation and Transformation),"
fracture,"break(Verbs of Change of State),"
destroy,"destroy(Destroy Verbs),"
blunt,"other change-of-state(Verbs of Change of State),"
channel,"funnel(Verbs of Putting),"
wrench,"remove(Verbs of Removing),"
hoover,"wipe(Verbs of Removing),"
prick,"poke(Poke Verbs),"
trace,"scribble(Image Creation Verbs),"
track,"stalk(Verbs of Searching),chase(Verbs of Motion),"
compress,"knead(Verbs of Creation and Transformation),other change-of-state(Verbs of Change of State),"
buffet,"pelt(Verbs of Throwing),"
crochet,"build(Verbs of Creation and Transformation),"
clatter,"sound emission(Verbs of Emission),"
enamel,"color(Verbs of Coloring),"
energize,"other change-of-state(Verbs of Change of State),"
steady,"other change-of-state(Verbs of Change of State),"
drive,"drive(Verbs of Sending and Carrying),"
calcify,"other change-of-state(Verbs of Change of State),"
squint,"peer(Verbs of Perception),"
salt,"butter(Verbs of Putting),"
shop,"search(Verbs of Searching),"
perch,"putting-in-spatial-config(Verbs of Putting),"
forage,"rummage(Verbs of Searching),"
cheat,"cheat(Verbs of Removing),"
ornament,"fill(Verbs of Putting),butter(Verbs of Putting),illustrate(Image Creation Verbs),"
infuriate,"amuse(Psych-Verbs),"
mince,"carve(Verbs of Cutting),"
hack,"cut(Verbs of Cutting),build(Verbs of Creation and Transformation),"
boggle,"amuse(Psych-Verbs),"
ground,"pocket(Verbs of Putting),"
gnaw,"chew(Verbs of Ingesting),"
slop,"pour(Verbs of Putting),"
dice,"carve(Verbs of Cutting),"
desex,"debone(Verbs of Removing),"
treasure,"admire(Psych-Verbs),"
gull,"cheat(Verbs of Removing),"
cloak,"fill(Verbs of Putting),butter(Verbs of Putting),"
gulp,"gobble(Verbs of Ingesting),"
outrage,"amuse(Psych-Verbs),"
stain,"fill(Verbs of Putting),butter(Verbs of Putting),color(Verbs of Coloring),"
clank,"sound emission(Verbs of Emission),"
get,"get(Verbs of Change of Possession),"
lighten,"other change-of-state(Verbs of Change of State),"
clang,"sound emission(Verbs of Emission),"
festoon,"fill(Verbs of Putting),"
submerge,"other change-of-state(Verbs of Change of State),"
dye,"color(Verbs of Coloring),"
drydock,"pocket(Verbs of Putting),"
obliterate,"destroy(Destroy Verbs),"
borrow,"obtain(Verbs of Change of Possession),"
burst,"other change-of-state(Verbs of Change of State),"
sear,"other change-of-state(Verbs of Change of State),"
whitewash,"butter(Verbs of Putting),"
espy,"sight(Verbs of Perception),"
westernize,"other change-of-state(Verbs of Change of State),"
concern,"amuse(Psych-Verbs),"
detect,"see(Verbs of Perception),"
pomade,"butter(Verbs of Putting),"
glaze,"color(Verbs of Coloring),"
label,"butter(Verbs of Putting),illustrate(Image Creation Verbs),"
pump,"spray/load(Verbs of Putting),"
notice,"see(Verbs of Perception),"
screen,"conceal(Verbs of Concealment),"
pluck,"wipe(Verbs of Removing),get(Verbs of Change of Possession),"
comb,"wipe(Verbs of Removing),search(Verbs of Searching),"
tug,"carry(Verbs of Sending and Carrying),push/pull(Verbs of Exerting Force: Push/Pull Verbs),"
oust,"remove(Verbs of Removing),"
tuck,"funnel(Verbs of Putting),"
quiet,"other change-of-state(Verbs of Change of State),"
contract,"other change-of-state(Verbs of Change of State),"
adorn,"fill(Verbs of Putting),illustrate(Image Creation Verbs),"
evict,"remove(Verbs of Removing),"
riddle,"fill(Verbs of Putting),"
wreathe,"fill(Verbs of Putting),butter(Verbs of Putting),"
color,"color(Verbs of Coloring),"
pot,"pocket(Verbs of Putting),"
spank,"spank(Verbs of Contact by Impact),"
pod,"pit(Verbs of Removing),"
poll,"pit(Verbs of Removing),"
stretch,"other change-of-state(Verbs of Change of State),"
mark,"image-impression(Image Creation Verbs),"
asphyxiate,"poison(Verbs of Killing),"
exasperate,"amuse(Psych-Verbs),"
gray,"other change-of-state(Verbs of Change of State),"
reimburse,"contribute(Verbs of Change of Possession),"
squash,"funnel(Verbs of Putting),carve(Verbs of Cutting),knead(Verbs of Creation and Transformation),"
observe,"sight(Verbs of Perception),investigate(Verbs of Searching),"
drum,"hit(Verbs of Contact by Impact),"
dribble,"pour(Verbs of Putting),"
sound,"stimulus-subject perception(Verbs of Perception),"
char,"other change-of-state(Verbs of Change of State),"
invigorate,"amuse(Psych-Verbs),"
mount,"putting(Verbs of Putting),"
cash,"get(Verbs of Change of Possession),"
compile,"build(Verbs of Creation and Transformation),"
cast,"throw(Verbs of Throwing),build(Verbs of Creation and Transformation),"
mound,"spray/load(Verbs of Putting),"
bathe,"fill(Verbs of Putting),"
soil,"fill(Verbs of Putting),"
strain,"wipe(Verbs of Removing),"
clutter,"fill(Verbs of Putting),"
incubate,"other change-of-state(Verbs of Change of State),"
worry,"amuse(Psych-Verbs),marvel(Psych-Verbs),"
develop,"build(Verbs of Creation and Transformation),grow(Verbs of Creation and Transformation),"
paw,"swat(Verbs of Contact by Impact),rummage(Verbs of Searching),"
pay,"give(Verbs of Change of Possession),"
parboil,"cook(Verbs of Change of State),"
archive,"pocket(Verbs of Putting),"
pad,"fill(Verbs of Putting),"
unionize,"other change-of-state(Verbs of Change of State),"
exhaust,"amuse(Psych-Verbs),"
oil,"butter(Verbs of Putting),"
munch,"chew(Verbs of Ingesting),"
deflate,"other change-of-state(Verbs of Change of State),"
weed,"wipe(Verbs of Removing),pit(Verbs of Removing),"
weave,"build(Verbs of Creation and Transformation),"
drain,"clear(Verbs of Removing),cheat(Verbs of Removing),other change-of-state(Verbs of Change of State),"
clobber,"spank(Verbs of Contact by Impact),"
bottle,"pocket(Verbs of Putting),"
model,"create(Verbs of Creation and Transformation),"
reward,"equip(Verbs of Change of Possession),"
clog,"fill(Verbs of Putting),other change-of-state(Verbs of Change of State),"
poach,"preparing(Verbs of Creation and Transformation),hunt(Verbs of Searching),cook(Verbs of Change of State),"
disconcert,"amuse(Psych-Verbs),"
rest,"putting-in-spatial-config(Verbs of Putting),"
imprint,"image-impression(Image Creation Verbs),"
kill,"murder(Verbs of Killing),"
touch,"touch(Verbs of Contact: Touch Verbs),amuse(Psych-Verbs),"
polish,"butter(Verbs of Putting),wipe(Verbs of Removing),"
blow,"build(Verbs of Creation and Transformation),"
blot,"fill(Verbs of Putting),"
pile,"spray/load(Verbs of Putting),"
impound,"steal(Verbs of Removing),"
grip,"hold(Hold and Keep Verbs),"
read,"learn(Learn Verbs),"
swig,"gobble(Verbs of Ingesting),"
mop,"wipe(Verbs of Removing),"
mow,"carve(Verbs of Cutting),"
ferment,"entity-specific change-of-state(Verbs of Change of State),"
dispatch,"send(Verbs of Sending and Carrying),murder(Verbs of Killing),"
vacuum,"wipe(Verbs of Removing),"
snare,"pocket(Verbs of Putting),"
reap,"remove(Verbs of Removing),"
towel,"wipe(Verbs of Removing),"
terrorize,"amuse(Psych-Verbs),"
expunge,"wipe(Verbs of Removing),"
interlard,"fill(Verbs of Putting),"
shrink,"other change-of-state(Verbs of Change of State),"
engross,"amuse(Psych-Verbs),"
interleave,"fill(Verbs of Putting),"
nose,"ferret(Verbs of Searching),"
immolate,"murder(Verbs of Killing),"
claw,"swat(Verbs of Contact by Impact),"
kennel,"pocket(Verbs of Putting),"
afflict,"amuse(Psych-Verbs),"
ascend,"inherently directed motion(Verbs of Motion),"
debur,"debone(Verbs of Removing),"
erase,"wipe(Verbs of Removing),"
evade,"avoid(Avoid Verbs),"
coddle,"cook(Verbs of Change of State),"
pasture,"pocket(Verbs of Putting),"
explode,"sound emission(Verbs of Emission),other change-of-state(Verbs of Change of State),"
slice,"carve(Verbs of Cutting),"
garland,"fill(Verbs of Putting),butter(Verbs of Putting),"
tote,"carry(Verbs of Sending and Carrying),"
moon,"marvel(Psych-Verbs),"
exit,"inherently directed motion(Verbs of Motion),"
inject,"spray/load(Verbs of Putting),"
gladden,"amuse(Psych-Verbs),marvel(Psych-Verbs),other change-of-state(Verbs of Change of State),"
squirt,"spray/load(Verbs of Putting),"
situate,"putting(Verbs of Putting),putting-in-spatial-config(Verbs of Putting),"
knife,"spank(Verbs of Contact by Impact),poison(Verbs of Killing),"
refer,"contribute(Verbs of Change of Possession),"
zest,"pit(Verbs of Removing),"
sadden,"amuse(Psych-Verbs),marvel(Psych-Verbs),"
breastfeed,"feeding(Verbs of Ingesting),"
inspect,"sight(Verbs of Perception),investigate(Verbs of Searching),"
slaughter,"get(Verbs of Change of Possession),murder(Verbs of Killing),"
assemble,"build(Verbs of Creation and Transformation),"
throw,"throw(Verbs of Throwing),amuse(Psych-Verbs),"
stone,"pit(Verbs of Removing),pelt(Verbs of Throwing),"
tease,"amuse(Psych-Verbs),ferret(Verbs of Searching),"
smear,"spray/load(Verbs of Putting),"
chop,"carve(Verbs of Cutting),"
wolf,"gobble(Verbs of Ingesting),"
stand,"putting-in-spatial-config(Verbs of Putting),admire(Psych-Verbs),"
equalize,"other change-of-state(Verbs of Change of State),"
impregnate,"fill(Verbs of Putting),"
slash,"cut(Verbs of Cutting),"
harness,"butter(Verbs of Putting),"
whiten,"other change-of-state(Verbs of Change of State),"
strip,"wipe(Verbs of Removing),cheat(Verbs of Removing),"
stare,"peer(Verbs of Perception),"
hew,"cut(Verbs of Cutting),"
vaporize,"other change-of-state(Verbs of Change of State),"
prepare,"preparing(Verbs of Creation and Transformation),"
glean,"learn(Learn Verbs),"
madden,"amuse(Psych-Verbs),marvel(Psych-Verbs),"
lop,"remove(Verbs of Removing),"
gaze,"peer(Verbs of Perception),"
galvanize,"amuse(Psych-Verbs),"
mollify,"amuse(Psych-Verbs),"
leach,"wipe(Verbs of Removing),"
jug,"pocket(Verbs of Putting),"
garrotte,"poison(Verbs of Killing),"
defrost,"debone(Verbs of Removing),other change-of-state(Verbs of Change of State),"
regard,"sight(Verbs of Perception),"
shroud,"fill(Verbs of Putting),"
emancipate,"steal(Verbs of Removing),"
pull,"carry(Verbs of Sending and Carrying),push/pull(Verbs of Exerting Force: Push/Pull Verbs),get(Verbs of Change of Possession),"
hire,"get(Verbs of Change of Possession),"
darken,"other change-of-state(Verbs of Change of State),"
annihilate,"destroy(Destroy Verbs),"
rage,"marvel(Psych-Verbs),"
fabricate,"create(Verbs of Creation and Transformation),"
attenuate,"other change-of-state(Verbs of Change of State),"
incise,"image-impression(Image Creation Verbs),"
dirty,"fill(Verbs of Putting),other change-of-state(Verbs of Change of State),"
grasp,"hold(Hold and Keep Verbs),"
pulp,"pit(Verbs of Removing),"
rust,"entity-specific change-of-state(Verbs of Change of State),"
taste,"see(Verbs of Perception),stimulus-subject perception(Verbs of Perception),stalk(Verbs of Searching),"
frighten,"amuse(Psych-Verbs),"
softboil,"preparing(Verbs of Creation and Transformation),cook(Verbs of Change of State),"
examine,"sight(Verbs of Perception),investigate(Verbs of Searching),"
file,"pocket(Verbs of Putting),wipe(Verbs of Removing),carve(Verbs of Cutting),"
creak,"sound emission(Verbs of Emission),"
film,"transcribe(Image Creation Verbs),"
fill,"fill(Verbs of Putting),other change-of-state(Verbs of Change of State),"
proliferate,"other change-of-state(Verbs of Change of State),"
separate,"remove(Verbs of Removing),"
shelter,"pocket(Verbs of Putting),conceal(Verbs of Concealment),"
despoil,"cheat(Verbs of Removing),"
democratize,"other change-of-state(Verbs of Change of State),"
chuck,"throw(Verbs of Throwing),"
deflea,"debone(Verbs of Removing),"
invest,"equip(Verbs of Change of Possession),"
defog,"debone(Verbs of Removing),"
mask,"fill(Verbs of Putting),"
mash,"carve(Verbs of Cutting),"
repay,"give(Verbs of Change of Possession),"
burrow,"rummage(Verbs of Searching),"
degas,"debone(Verbs of Removing),"
paddywhack,"spank(Verbs of Contact by Impact),"
pique,"amuse(Psych-Verbs),"
antagonize,"amuse(Psych-Verbs),"
follow,"chase(Verbs of Motion),"
carpet,"fill(Verbs of Putting),butter(Verbs of Putting),"
glimpse,"sight(Verbs of Perception),"
depressurize,"other change-of-state(Verbs of Change of State),"
assuage,"amuse(Psych-Verbs),"
tail,"pit(Verbs of Removing),chase(Verbs of Motion),"
crimson,"other change-of-state(Verbs of Change of State),"
case,"pocket(Verbs of Putting),"
wad,"funnel(Verbs of Putting),knead(Verbs of Creation and Transformation),"
hybridize,"other change-of-state(Verbs of Change of State),"
scout,"search(Verbs of Searching),"
scour,"wipe(Verbs of Removing),search(Verbs of Searching),"
fall,"calibratable change-of-state(Verbs of Change of State),"
ticket,"butter(Verbs of Putting),"
dampen,"other change-of-state(Verbs of Change of State),"
shrivel,"other change-of-state(Verbs of Change of State),"
wilt,"entity-specific change-of-state(Verbs of Change of State),"
sand,"butter(Verbs of Putting),"
dissolve,"other change-of-state(Verbs of Change of State),"
enrapture,"amuse(Psych-Verbs),"
flick,"throw(Verbs of Throwing),"
fence,"butter(Verbs of Putting),"
defeather,"debone(Verbs of Removing),"
straighten,"other change-of-state(Verbs of Change of State),"
design,"create(Verbs of Creation and Transformation),"
pass,"send(Verbs of Sending and Carrying),give(Verbs of Change of Possession),throw(Verbs of Throwing),"
canvass,"investigate(Verbs of Searching),"
quicken,"other change-of-state(Verbs of Change of State),"
harden,"other change-of-state(Verbs of Change of State),"
rot,"entity-specific change-of-state(Verbs of Change of State),"
crush,"carve(Verbs of Cutting),amuse(Psych-Verbs),break(Verbs of Change of State),"
tauten,"other change-of-state(Verbs of Change of State),"
perforate,"carve(Verbs of Cutting),"
lacquer,"color(Verbs of Coloring),"
loose,"other change-of-state(Verbs of Change of State),"
overawe,"amuse(Psych-Verbs),"
search,"search(Verbs of Searching),"
round,"other change-of-state(Verbs of Change of State),"
skyrocket,"calibratable change-of-state(Verbs of Change of State),"
pick,"get(Verbs of Change of Possession),chew(Verbs of Ingesting),"
narrow,"other change-of-state(Verbs of Change of State),"
raze,"destroy(Destroy Verbs),"
smuggle,"steal(Verbs of Removing),send(Verbs of Sending and Carrying),"
flash,"light emission(Verbs of Emission),"
depart,"inherently directed motion(Verbs of Motion),"
put,"putting(Verbs of Putting),"
select,"obtain(Verbs of Change of Possession),"
pulverize,"carve(Verbs of Cutting),other change-of-state(Verbs of Change of State),"
eye,"sight(Verbs of Perception),"
deject,"amuse(Psych-Verbs),"
enliven,"amuse(Psych-Verbs),"
wield,"hold(Hold and Keep Verbs),"
irritate,"amuse(Psych-Verbs),"
splash,"spray/load(Verbs of Putting),"
inlay,"fill(Verbs of Putting),"
crepitate,"sound emission(Verbs of Emission),"
garnish,"fill(Verbs of Putting),"
erode,"entity-specific change-of-state(Verbs of Change of State),"
stick,"spray/load(Verbs of Putting),poke(Poke Verbs),"
suction,"wipe(Verbs of Removing),"
grill,"preparing(Verbs of Creation and Transformation),cook(Verbs of Change of State),"
fleece,"cheat(Verbs of Removing),"
squish,"funnel(Verbs of Putting),carve(Verbs of Cutting),knead(Verbs of Creation and Transformation),"
recall,"banish(Verbs of Removing),"
chisel,"build(Verbs of Creation and Transformation),"
learn,"learn(Learn Verbs),"
grope,"rummage(Verbs of Searching),"
scramble,"preparing(Verbs of Creation and Transformation),"
scan,"sight(Verbs of Perception),investigate(Verbs of Searching),"
accept,"obtain(Verbs of Change of Possession),"
boycott,"avoid(Avoid Verbs),"
sense,"see(Verbs of Perception),"
cultivate,"spray/load(Verbs of Putting),"
dazzle,"amuse(Psych-Verbs),"
thieve,"steal(Verbs of Removing),"
enlarge,"other change-of-state(Verbs of Change of State),"
cling,"sound emission(Verbs of Emission),"
stir,"amuse(Psych-Verbs),"
sprinkle,"spray/load(Verbs of Putting),"
anoint,"fill(Verbs of Putting),"
tattoo,"image-impression(Image Creation Verbs),"
blacken,"other change-of-state(Verbs of Change of State),"
sneak,"steal(Verbs of Removing),send(Verbs of Sending and Carrying),"
volatilize,"other change-of-state(Verbs of Change of State),"
numb,"amuse(Psych-Verbs),"
pat,"touch(Verbs of Contact: Touch Verbs),"
bloom,"entity-specific change-of-state(Verbs of Change of State),"
plank,"butter(Verbs of Putting),cook(Verbs of Change of State),"
short,"other change-of-state(Verbs of Change of State),"
deluge,"fill(Verbs of Putting),"
coat,"fill(Verbs of Putting),"
denude,"cheat(Verbs of Removing),"
stash,"putting(Verbs of Putting),"
dread,"admire(Psych-Verbs),"
ding,"sound emission(Verbs of Emission),"
displease,"amuse(Psych-Verbs),"
televise,"transcribe(Image Creation Verbs),"
trade,"give(Verbs of Change of Possession),exchange(Verbs of Change of Possession),"
paper,"butter(Verbs of Putting),"
style,"create(Verbs of Creation and Transformation),"
jollify,"amuse(Psych-Verbs),"
coarsen,"other change-of-state(Verbs of Change of State),"
astonish,"amuse(Psych-Verbs),"
braise,"cook(Verbs of Change of State),"
flabbergast,"amuse(Psych-Verbs),"
alter,"turn(Verbs of Creation and Transformation),other change-of-state(Verbs of Change of State),"
return,"send(Verbs of Sending and Carrying),contribute(Verbs of Change of Possession),"
accumulate,"obtain(Verbs of Change of Possession),"
stopper,"butter(Verbs of Putting),"
refresh,"amuse(Psych-Verbs),"
transcribe,"transcribe(Image Creation Verbs),"
house,"pocket(Verbs of Putting),"
fish,"hunt(Verbs of Searching),"
winnow,"wipe(Verbs of Removing),"
ripple,"fill(Verbs of Putting),"
endow,"fill(Verbs of Putting),"
heave,"carry(Verbs of Sending and Carrying),push/pull(Verbs of Exerting Force: Push/Pull Verbs),"
terrify,"amuse(Psych-Verbs),"
flower,"entity-specific change-of-state(Verbs of Change of State),"
divide,"other change-of-state(Verbs of Change of State),"
lipstick,"butter(Verbs of Putting),"
prine,"wipe(Verbs of Removing),"
disquiet,"amuse(Psych-Verbs),"
print,"scribble(Image Creation Verbs),"
issue,"fulfilling(Verbs of Change of Possession),"
silicify,"other change-of-state(Verbs of Change of State),"
detassel,"debone(Verbs of Removing),"
dehorn,"debone(Verbs of Removing),"
bash,"throw(Verbs of Throwing),hit(Verbs of Contact by Impact),"
blister,"entity-specific change-of-state(Verbs of Change of State),"
execrate,"admire(Psych-Verbs),"
detusk,"debone(Verbs of Removing),"
omit,"remove(Verbs of Removing),"
desiccate,"other change-of-state(Verbs of Change of State),"
FedEx,"send(Verbs of Sending and Carrying),"
sicken,"amuse(Psych-Verbs),marvel(Psych-Verbs),other change-of-state(Verbs of Change of State),"
wither,"entity-specific change-of-state(Verbs of Change of State),"
clump,"sound emission(Verbs of Emission),"
feed,"give(Verbs of Change of Possession),feeding(Verbs of Ingesting),"
dissatisfy,"amuse(Psych-Verbs),"
perturb,"amuse(Psych-Verbs),"
feel,"see(Verbs of Perception),stimulus-subject perception(Verbs of Perception),hunt(Verbs of Searching),"
fancy,"admire(Psych-Verbs),"
sequester,"conceal(Verbs of Concealment),"
dong,"sound emission(Verbs of Emission),"
miss,"admire(Psych-Verbs),"
ostracize,"remove(Verbs of Removing),"
blossom,"entity-specific change-of-state(Verbs of Change of State),"
swipe,"steal(Verbs of Removing),swat(Verbs of Contact by Impact),"
construct,"create(Verbs of Creation and Transformation),"
paint,"color(Verbs of Coloring),image-impression(Image Creation Verbs),scribble(Image Creation Verbs),performance(Verbs of Creation and Transformation),"
leash,"butter(Verbs of Putting),"
store,"keep(Hold and Keep Verbs),"
lease,"give(Verbs of Change of Possession),get(Verbs of Change of Possession),"
catapult,"throw(Verbs of Throwing),"
slosh,"pour(Verbs of Putting),"
discombobulate,"amuse(Psych-Verbs),"
chomp,"chew(Verbs of Ingesting),"
rifle,"cheat(Verbs of Removing),search(Verbs of Searching),rummage(Verbs of Searching),"
sign,"image-impression(Image Creation Verbs),"
lament,"admire(Psych-Verbs),"
double,"other change-of-state(Verbs of Change of State),other change-of-state(Verbs of Change of State),"
stalk,"pit(Verbs of Removing),stalk(Verbs of Searching),"
kindle,"other change-of-state(Verbs of Change of State),"
strengthen,"other change-of-state(Verbs of Change of State),"
caress,"touch(Verbs of Contact: Touch Verbs),"
graffiti,"butter(Verbs of Putting),"
gall,"amuse(Psych-Verbs),"
sell,"give(Verbs of Change of Possession),"
toughen,"other change-of-state(Verbs of Change of State),"
tarnish,"entity-specific change-of-state(Verbs of Change of State),"
zipcode,"butter(Verbs of Putting),"
distemper,"color(Verbs of Coloring),"
build,"build(Verbs of Creation and Transformation),"
coff,"spank(Verbs of Contact by Impact),"
buff,"wipe(Verbs of Removing),"
gill,"pit(Verbs of Removing),"
play,"performance(Verbs of Creation and Transformation),"
mottle,"fill(Verbs of Putting),"
reach,"get(Verbs of Change of Possession),"
splay,"other change-of-state(Verbs of Change of State),"
plunder,"cheat(Verbs of Removing),"
bridle,"butter(Verbs of Putting),"
fluctuate,"calibratable change-of-state(Verbs of Change of State),"
seize,"steal(Verbs of Removing),obtain(Verbs of Change of Possession),"
clear,"clear(Verbs of Removing),preparing(Verbs of Creation and Transformation),other change-of-state(Verbs of Change of State),"
saturate,"fill(Verbs of Putting),"
cover,"fill(Verbs of Putting),"
desprout,"debone(Verbs of Removing),"
clean,"clear(Verbs of Removing),preparing(Verbs of Creation and Transformation),other change-of-state(Verbs of Change of State),"
notch,"carve(Verbs of Cutting),"
liberate,"steal(Verbs of Removing),"
niggle,"appeal(Psych-Verbs),"
barter,"exchange(Verbs of Change of Possession),"
exterminate,"destroy(Destroy Verbs),"
agonize,"amuse(Psych-Verbs),"
flicker,"light emission(Verbs of Emission),"
crayon,"scribble(Image Creation Verbs),"
fillet,"carve(Verbs of Cutting),"
find,"get(Verbs of Change of Possession),"
de-escalate,"other change-of-state(Verbs of Change of State),"
aggravate,"amuse(Psych-Verbs),"
ruin,"destroy(Destroy Verbs),"
destabilize,"other change-of-state(Verbs of Change of State),"
shepherd,"accompany(Verbs of Motion),"
hit,"throw(Verbs of Throwing),hit(Verbs of Contact by Impact),non-agentive impact(Verbs of Contact by Impact),"
express,"send(Verbs of Sending and Carrying),"
resent,"admire(Psych-Verbs),"
whistle,"performance(Verbs of Creation and Transformation),"
ferret,"ferret(Verbs of Searching),"
cheapen,"other change-of-state(Verbs of Change of State),"
batter,"hit(Verbs of Contact by Impact),"
granulate,"other change-of-state(Verbs of Change of State),"
